Diamine SMILES,Dianhydride SMILES
O=C(/C=C/c1ccc2c(c1)C(=O)OC2=O)/C=C/c1ccc2c(c1)C(=O)OC2=O,Nc1ccc(NC(=O)c2ccc(-c3ccc(-c4ccc(C(=O)Nc5ccc(N)cc5)cc4)cc3)cc2)cc1
O=C1OC(=O)c2cc(/C=C/C(O)/C=C/c3ccc4c(c3)C(=O)OC4=O)ccc21,Nc1ccc(NC(=O)c2ccc(C(O)CC(O)c3ccc(C(=O)Nc4ccc(N)cc4)cc3)cc2)cc1
O=C1OC(=O)c2cc(C#CC#Cc3ccc4c(c3)C(=O)OC4=O)ccc21,Nc1ccc(-c2ccc(COCOCc3ccc(-c4ccc(N)cc4)cc3)cc2)cc1
O=C(OCc1ccc(CCC(O)CCc2ccc(COC(=O)c3ccc4c(c3)C(=O)OC4=O)cc2)cc1)c1ccc2c(c1)C(=O)OC2=O,Nc1ccc(C(=O)OCc2ccc(C(=O)C(O)c3ccc(COC(=O)c4ccc(N)cc4)cc3)cc2)cc1
O=C1OC(=O)c2cc(CCC(O)CCc3ccc4c(c3)C(=O)OC4=O)ccc21,Nc1ccc(C(=O)OCc2ccc(C(O)C(O)c3ccc(COC(=O)c4ccc(N)cc4)cc3)cc2)cc1
O=C(Oc1ccc2c(c1)C(=O)OC2=O)c1ccc(CCC(O)CCc2ccc(C(=O)Oc3ccc4c(c3)C(=O)OC4=O)cc2)cc1,Nc1ccc(C(=O)OCc2ccc(C(=O)CC(=O)c3ccc(COC(=O)c4ccc(N)cc4)cc3)cc2)cc1
O=C1OC(=O)c2cc(-c3ccc(Oc4ccc(-c5ccc6c(c5)C(=O)OC6=O)cc4)cc3)ccc21,Nc1ccc(C(=O)OCc2ccc(C(O)CC(O)c3ccc(COC(=O)c4ccc(N)cc4)cc3)cc2)cc1
O=C1OC(=O)c2cc(-c3ccc(COCc4ccc(-c5ccc6c(c5)C(=O)OC6=O)cc4)cc3)ccc21,Nc1ccc(C(=O)OCc2ccc(/C=C/C(=O)/C=C/c3ccc(COC(=O)c4ccc(N)cc4)cc3)cc2)cc1
O=C1OC(=O)c2cc(-c3ccc(COCOCc4ccc(-c5ccc6c(c5)C(=O)OC6=O)cc4)cc3)ccc21,Nc1ccc(C(=O)OCc2ccc(/C=C/C(O)/C=C/c3ccc(COC(=O)c4ccc(N)cc4)cc3)cc2)cc1
CN(Cc1ccc(-c2ccc3c(c2)C(=O)OC3=O)cc1)Cc1ccc(-c2ccc3c(c2)C(=O)OC3=O)cc1,Nc1ccc(C(=O)OCc2ccc(C#CC#Cc3ccc(COC(=O)c4ccc(N)cc4)cc3)cc2)cc1
O=C1OC(=O)c2cc(-c3ccc(-c4ccc(-c5ccc6c(c5)C(=O)OC6=O)cc4)cc3)ccc21,Nc1ccc(C(=O)OCc2ccc(/C=C/c3ccc(COC(=O)c4ccc(N)cc4)cc3)cc2)cc1
O=C1OC(=O)c2cc(-c3ccc(Cc4ccc(-c5ccc6c(c5)C(=O)OC6=O)cc4)cc3)ccc21,Nc1ccc(C(=O)OCc2ccc(-c3ccc(-c4ccc(COC(=O)c5ccc(N)cc5)cc4)[nH]3)cc2)cc1
CC(C)(c1ccc(-c2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(-c2ccc3c(c2)C(=O)OC3=O)cc1,Nc1ccc(C(=O)OCc2ccc(-c3ccc(-c4ccc(COC(=O)c5ccc(N)cc5)cc4)cc3)cc2)cc1
O=C(c1ccc(-c2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(-c2ccc3c(c2)C(=O)OC3=O)cc1,Nc1ccc(C(=O)OCc2ccc(/C=C3\CCC/C(=C\c4ccc(COC(=O)c5ccc(N)cc5)cc4)C3=O)cc2)cc1
O=C1OC(=O)c2cc(-c3ccc(C(O)c4ccc(-c5ccc6c(c5)C(=O)OC6=O)cc4)cc3)ccc21,Nc1ccc(C(=O)OCc2ccc(/C=C3\CC/C(=C\c4ccc(COC(=O)c5ccc(N)cc5)cc4)C3=O)cc2)cc1
O=C(C(=O)c1ccc(-c2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(-c2ccc3c(c2)C(=O)OC3=O)cc1,NCc1ccc(CN)cc1
O=C1OC(=O)c2cc(-c3ccc(C(=O)C(O)c4ccc(-c5ccc6c(c5)C(=O)OC6=O)cc4)cc3)ccc21,NCc1ccc(Oc2ccc(CN)cc2)cc1
O=C1OC(=O)c2cc(-c3ccc(C(O)C(O)c4ccc(-c5ccc6c(c5)C(=O)OC6=O)cc4)cc3)ccc21,NCc1ccc(COCc2ccc(CN)cc2)cc1
O=C(CC(=O)c1ccc(-c2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(-c2ccc3c(c2)C(=O)OC3=O)cc1,NCc1ccc(COCOCc2ccc(CN)cc2)cc1
O=C1OC(=O)c2cc(-c3ccc(C(O)CC(O)c4ccc(-c5ccc6c(c5)C(=O)OC6=O)cc4)cc3)ccc21,NCc1ccc(COCCOCc2ccc(CN)cc2)cc1
O=C(/C=C/c1ccc(-c2ccc3c(c2)C(=O)OC3=O)cc1)/C=C/c1ccc(-c2ccc3c(c2)C(=O)OC3=O)cc1,CN(Cc1ccc(CN)cc1)Cc1ccc(CN)cc1
O=C1OC(=O)c2cc(-c3ccc(/C=C/C(O)/C=C/c4ccc(-c5ccc6c(c5)C(=O)OC6=O)cc4)cc3)ccc21,NCc1ccc(/C=N/N=C/c2ccc(CN)cc2)cc1
O=C1OC(=O)c2cc(-c3ccc(CCC(O)CCc4ccc(-c5ccc6c(c5)C(=O)OC6=O)cc4)cc3)ccc21,NCc1ccc(-c2ccc(CN)cc2)cc1
O=C1OC(=O)c2cc(-c3ccc(COCCOCc4ccc(-c5ccc6c(c5)C(=O)OC6=O)cc4)cc3)ccc21,NCc1ccc(Cc2ccc(CN)cc2)cc1
O=C1OC(=O)c2cc(-c3ccc(C#CC#Cc4ccc(-c5ccc6c(c5)C(=O)OC6=O)cc4)cc3)ccc21,CC(C)(c1ccc(CN)cc1)c1ccc(CN)cc1
O=C1OC(=O)c2cc(-c3ccc(/C=C/c4ccc(-c5ccc6c(c5)C(=O)OC6=O)cc4)cc3)ccc21,NCc1ccc(C(=O)c2ccc(CN)cc2)cc1
O=C1OC(=O)c2cc(-c3ccc(-c4ccc(-c5ccc(-c6ccc7c(c6)C(=O)OC7=O)cc5)[nH]4)cc3)ccc21,NCc1ccc(C(O)c2ccc(CN)cc2)cc1
O=C1OC(=O)c2cc(-c3ccc(-c4ccc(-c5ccc(-c6ccc7c(c6)C(=O)OC7=O)cc5)cc4)cc3)ccc21,NCc1ccc(C(=O)C(=O)c2ccc(CN)cc2)cc1
O=C1/C(=C/c2ccc(-c3ccc4c(c3)C(=O)OC4=O)cc2)CCC/C1=C\c1ccc(-c2ccc3c(c2)C(=O)OC3=O)cc1,Nc1ccc(-c2ccc(Oc3ccc(-c4ccc(N)cc4)cc3)cc2)cc1
O=C1/C(=C/c2ccc(-c3ccc4c(c3)C(=O)OC4=O)cc2)CC/C1=C\c1ccc(-c2ccc3c(c2)C(=O)OC3=O)cc1,Nc1ccc(-c2ccc(COCc3ccc(-c4ccc(N)cc4)cc3)cc2)cc1
O=C1OC(=O)c2cc(OCc3ccc(COc4ccc5c(c4)C(=O)OC5=O)cc3)ccc21,Nc1ccc(-c2ccc(COCCOCc3ccc(-c4ccc(N)cc4)cc3)cc2)cc1
O=C1OC(=O)c2cc(OCc3ccc(Oc4ccc(COc5ccc6c(c5)C(=O)OC6=O)cc4)cc3)ccc21,CN(Cc1ccc(-c2ccc(N)cc2)cc1)Cc1ccc(-c2ccc(N)cc2)cc1
O=C1OC(=O)c2cc(OCc3ccc(COCc4ccc(COc5ccc6c(c5)C(=O)OC6=O)cc4)cc3)ccc21,Nc1ccc(-c2ccc(-c3ccc(-c4ccc(N)cc4)cc3)cc2)cc1
O=C1OC(=O)c2cc(OCc3ccc(COCOCc4ccc(COc5ccc6c(c5)C(=O)OC6=O)cc4)cc3)ccc21,Nc1ccc(-c2ccc(Cc3ccc(-c4ccc(N)cc4)cc3)cc2)cc1
O=C1OC(=O)c2cc(OCc3ccc(COCCOCc4ccc(COc5ccc6c(c5)C(=O)OC6=O)cc4)cc3)ccc21,CC(C)(c1ccc(-c2ccc(N)cc2)cc1)c1ccc(-c2ccc(N)cc2)cc1
CN(Cc1ccc(COc2ccc3c(c2)C(=O)OC3=O)cc1)Cc1ccc(COc2ccc3c(c2)C(=O)OC3=O)cc1,Nc1ccc(-c2ccc(C(=O)c3ccc(-c4ccc(N)cc4)cc3)cc2)cc1
O=C1OC(=O)c2cc(OCc3ccc(-c4ccc(COc5ccc6c(c5)C(=O)OC6=O)cc4)cc3)ccc21,Nc1ccc(-c2ccc(C(O)c3ccc(-c4ccc(N)cc4)cc3)cc2)cc1
O=C1OC(=O)c2cc(OCc3ccc(Cc4ccc(COc5ccc6c(c5)C(=O)OC6=O)cc4)cc3)ccc21,Nc1ccc(-c2ccc(C(=O)C(=O)c3ccc(-c4ccc(N)cc4)cc3)cc2)cc1
CC(C)(c1ccc(COc2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(COc2ccc3c(c2)C(=O)OC3=O)cc1,Nc1ccc(-c2ccc(C(=O)C(O)c3ccc(-c4ccc(N)cc4)cc3)cc2)cc1
O=C(Nc1ccc2c(c1)C(=O)OC2=O)c1ccc(C(=O)Nc2ccc3c(c2)C(=O)OC3=O)cc1,Nc1ccc(-c2ccc(C(O)C(O)c3ccc(-c4ccc(N)cc4)cc3)cc2)cc1
O=C(Nc1ccc2c(c1)C(=O)OC2=O)c1ccc(Oc2ccc(C(=O)Nc3ccc4c(c3)C(=O)OC4=O)cc2)cc1,Nc1ccc(-c2ccc(C(=O)CC(=O)c3ccc(-c4ccc(N)cc4)cc3)cc2)cc1
O=C(Nc1ccc2c(c1)C(=O)OC2=O)c1ccc(COCc2ccc(C(=O)Nc3ccc4c(c3)C(=O)OC4=O)cc2)cc1,Nc1ccc(-c2ccc(C(O)CC(O)c3ccc(-c4ccc(N)cc4)cc3)cc2)cc1
O=C1/C(=C/c2ccc(CCc3ccc4c(c3)C(=O)OC4=O)cc2)CCC/C1=C\c1ccc(COc2ccc3c(c2)C(=O)OC3=O)cc1,Nc1ccc(-c2ccc(/C=C/C(=O)/C=C/c3ccc(-c4ccc(N)cc4)cc3)cc2)cc1
O=C1/C(=C/c2ccc(COc3ccc4c(c3)C(=O)OC4=O)cc2)CC/C1=C\c1ccc(COc2ccc3c(c2)C(=O)OC3=O)cc1,Nc1ccc(-c2ccc(/C=C/C(O)/C=C/c3ccc(-c4ccc(N)cc4)cc3)cc2)cc1
O=C(c1ccc(COc2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(COc2ccc3c(c2)C(=O)OC3=O)cc1,Nc1ccc(-c2ccc(CCC(O)CCc3ccc(-c4ccc(N)cc4)cc3)cc2)cc1
O=C1OC(=O)c2cc(OCc3ccc(C(O)c4ccc(COc5ccc6c(c5)C(=O)OC6=O)cc4)cc3)ccc21,Nc1ccc(-c2ccc(-c3ccc(N)cc3)cc2)cc1
O=C(C(=O)c1ccc(COc2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(COc2ccc3c(c2)C(=O)OC3=O)cc1,Nc1ccc(-c2ccc(C#CC#Cc3ccc(-c4ccc(N)cc4)cc3)cc2)cc1
O=C1OC(=O)c2cc(OCc3ccc(C(=O)C(O)c4ccc(COc5ccc6c(c5)C(=O)OC6=O)cc4)cc3)ccc21,Nc1ccc(-c2ccc(/C=C/c3ccc(-c4ccc(N)cc4)cc3)cc2)cc1
O=C1OC(=O)c2cc(OCc3ccc(C(O)C(O)c4ccc(COc5ccc6c(c5)C(=O)OC6=O)cc4)cc3)ccc21,Nc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(N)cc5)cc4)[nH]3)cc2)cc1
O=C(CC(=O)c1ccc(COc2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(COc2ccc3c(c2)C(=O)OC3=O)cc1,Nc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(N)cc5)cc4)cc3)cc2)cc1
O=C1OC(=O)c2cc(OCc3ccc(C#CC#Cc4ccc(COc5ccc6c(c5)C(=O)OC6=O)cc4)cc3)ccc21,Nc1ccc(-c2ccc(/C=C3\CCC/C(=C\c4ccc(-c5ccc(N)cc5)cc4)C3=O)cc2)cc1
O=C1OC(=O)c2cc(OCc3ccc(/C=C/c4ccc(COc5ccc6c(c5)C(=O)OC6=O)cc4)cc3)ccc21,Nc1ccc(-c2ccc(/C=C3\CC/C(=C\c4ccc(-c5ccc(N)cc5)cc4)C3=O)cc2)cc1
O=C1OC(=O)c2cc(OCc3ccc(-c4ccc(-c5ccc(COc6ccc7c(c6)C(=O)OC7=O)cc5)[nH]4)cc3)ccc21,Nc1ccc(C(=O)OCc2ccc(CCC(O)CCc3ccc(COC(=O)c4ccc(N)cc4)cc3)cc2)cc1
O=C1OC(=O)c2cc(OCc3ccc(-c4ccc(-c5ccc(COc6ccc7c(c6)C(=O)OC7=O)cc5)cc4)cc3)ccc21,Nc1ccc(OC(=O)c2ccc(CCC(O)CCc3ccc(C(=O)Oc4ccc(N)cc4)cc3)cc2)cc1
O=C1OC(=O)c2cc(OCc3ccc(C(O)CC(O)c4ccc(COc5ccc6c(c5)C(=O)OC6=O)cc4)cc3)ccc21,Nc1ccc(C(=O)NCc2ccc(CNC(=O)c3ccc(N)cc3)cc2)cc1
O=C(/C=C/c1ccc(COc2ccc3c(c2)C(=O)OC3=O)cc1)/C=C/c1ccc(COc2ccc3c(c2)C(=O)OC3=O)cc1,Nc1ccc(C(=O)NCc2ccc(Oc3ccc(CNC(=O)c4ccc(N)cc4)cc3)cc2)cc1
O=C1OC(=O)c2cc(OCc3ccc(/C=C/C(O)/C=C/c4ccc(COc5ccc6c(c5)C(=O)OC6=O)cc4)cc3)ccc21,Nc1ccc(C(=O)NCc2ccc(COCc3ccc(CNC(=O)c4ccc(N)cc4)cc3)cc2)cc1
O=C1OC(=O)c2cc(OCc3ccc(CCC(O)CCc4ccc(COc5ccc6c(c5)C(=O)OC6=O)cc4)cc3)ccc21,Nc1ccc(C(=O)NCc2ccc(COCOCc3ccc(CNC(=O)c4ccc(N)cc4)cc3)cc2)cc1
O=C(Nc1ccc2c(c1)C(=O)OC2=O)c1ccc(C(=O)C(=O)c2ccc(C(=O)Nc3ccc4c(c3)C(=O)OC4=O)cc2)cc1,Nc1ccc(C(=O)NCc2ccc(COCCOCc3ccc(CNC(=O)c4ccc(N)cc4)cc3)cc2)cc1
O=C(Nc1ccc2c(c1)C(=O)OC2=O)c1ccc(C(=O)C(O)c2ccc(C(=O)Nc3ccc4c(c3)C(=O)OC4=O)cc2)cc1,CN(Cc1ccc(CNC(=O)c2ccc(N)cc2)cc1)Cc1ccc(CNC(=O)c2ccc(N)cc2)cc1
O=C(Nc1ccc2c(c1)C(=O)OC2=O)c1ccc(C(O)C(O)c2ccc(C(=O)Nc3ccc4c(c3)C(=O)OC4=O)cc2)cc1,Nc1ccc(C(=O)NCc2ccc(-c3ccc(CNC(=O)c4ccc(N)cc4)cc3)cc2)cc1
O=C(CC(=O)c1ccc(C(=O)Nc2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(C(=O)Nc2ccc3c(c2)C(=O)OC3=O)cc1,Nc1ccc(C(=O)NCc2ccc(Cc3ccc(CNC(=O)c4ccc(N)cc4)cc3)cc2)cc1
O=C(Nc1ccc2c(c1)C(=O)OC2=O)c1ccc(C#CC#Cc2ccc(C(=O)Nc3ccc4c(c3)C(=O)OC4=O)cc2)cc1,CC(C)(c1ccc(CNC(=O)c2ccc(N)cc2)cc1)c1ccc(CNC(=O)c2ccc(N)cc2)cc1
O=C(Nc1ccc2c(c1)C(=O)OC2=O)c1ccc(/C=C/c2ccc(C(=O)Nc3ccc4c(c3)C(=O)OC4=O)cc2)cc1,Nc1ccc(C(=O)NCc2ccc(C(=O)c3ccc(CNC(=O)c4ccc(N)cc4)cc3)cc2)cc1
O=C(Nc1ccc2c(c1)C(=O)OC2=O)c1ccc(-c2ccc(-c3ccc(C(=O)Nc4ccc5c(c4)C(=O)OC5=O)cc3)[nH]2)cc1,Nc1ccc(C(=O)NCc2ccc(C(O)c3ccc(CNC(=O)c4ccc(N)cc4)cc3)cc2)cc1
