SMILES,MD_Fracture_Stress_GPa,Gaussian_NLL_Predicted_Mean_GPa,MSE_Predicted_Mean_GPa,Gaussian_NLL_Std_GPa,MSE_Std_GPa
O=C(Nc1ccc2c(c1)C(=O)N(*)C2=O)c1ccc(CCC(O)CCc2ccc(C(=O)Nc3ccc4c(c3)C(=O)N(c3ccc(C(=O)OCc5ccc(C(=O)c6ccc(COC(=O)c7ccc(*)cc7)cc6)cc5)cc3)C4=O)cc2)cc1,8.353057851,8.16083,7.40095,0.42798948,0.6571776
CC(C)(c1ccc(CNC(=O)c2ccc(*)cc2)cc1)c1ccc(CNC(=O)c2ccc(N3C(=O)c4ccc(-c5ccc(C(=O)C(=O)c6ccc(-c7ccc8c(c7)C(=O)N(*)C8=O)cc6)cc5)cc4C3=O)cc2)cc1,8.360030127,7.9919405,6.96371,0.29779258,0.38516253
O=C(Nc1ccc(*)cc1)c1ccc(COCOCc2ccc(C(=O)Nc3ccc(N4C(=O)c5ccc(NC(=O)c6ccc(C(=O)C(=O)c7ccc(C(=O)Nc8ccc9c(c8)C(=O)N(*)C9=O)cc7)cc6)cc5C4=O)cc3)cc2)cc1,8.433460057,8.72297,8.11661,0.53301966,0.54074913
O=C(OCc1ccc(-c2ccc(-c3ccc(COC(=O)c4ccc5c(c4)C(=O)N(c4ccc(OCc6ccc(-c7ccc(-c8ccc(COc9ccc(*)cc9)cc8)[nH]7)cc6)cc4)C5=O)cc3)[nH]2)cc1)c1ccc2c(c1)C(=O)N(*)C2=O,8.969468425,10.44454,9.75324,0.4457713,0.6833402
O=C(NCc1ccc(Cc2ccc(CNC(=O)c3ccc(N4C(=O)c5ccc(COCc6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3)cc2)cc1)c1ccc(*)cc1,9.054069327,8.18369,7.1249704,0.3717398,0.450407
O=C(Nc1ccc2c(c1)C(=O)N(*)C2=O)c1ccc(C(=O)Nc2ccc3c(c2)C(=O)N(c2ccc(OCc4ccc(C(=O)C(O)c5ccc(COc6ccc(*)cc6)cc5)cc4)cc2)C3=O)cc1,9.329200097,6.7224603,5.197,0.88374937,0.7066622
O=C(Nc1ccc(*)cc1)c1ccc(Cc2ccc(C(=O)Nc3ccc(N4C(=O)c5ccc(C(=O)OCc6ccc(OCCOCc7ccc(COC(=O)c8ccc9c(c8)C(=O)N(*)C9=O)cc7)cc6)cc5C4=O)cc3)cc2)cc1,9.436293651,11.54563,10.410049,0.47018182,0.659273
O=C(/C=C/c1ccc(C(=O)Nc2ccc(*)cc2)cc1)/C=C/c1ccc(C(=O)Nc2ccc(N3C(=O)c4ccc(-c5ccc(COCOCc6ccc(-c7ccc8c(c7)C(=O)N(*)C8=O)cc6)cc5)cc4C3=O)cc2)cc1,9.55983596,9.67775,8.69606,0.5944433,0.40386876
O=C(/C=C/c1ccc(C(=O)Nc2ccc(*)cc2)cc1)/C=C/c1ccc(C(=O)Nc2ccc(N3C(=O)c4ccc(OCc5ccc(/C=C/C(O)/C=C/c6ccc(COc7ccc8c(c7)C(=O)N(*)C8=O)cc6)cc5)cc4C3=O)cc2)cc1,9.665149267,9.83548,8.2142105,0.8407069,0.6993695
O=C(Nc1ccc(*)cc1)c1ccc(Cc2ccc(C(=O)Nc3ccc(N4C(=O)c5ccc(C(O)CC(O)c6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3)cc2)cc1,9.919770176,10.84426,8.86607,0.8231376,0.93034935
O=C(Nc1ccc(*)cc1)c1ccc(COCCOCc2ccc(C(=O)Nc3ccc(N4C(=O)c5ccc(OC(=O)c6ccc(/C=C/C(O)/C=C/c7ccc(C(=O)Oc8ccc9c(c8)C(=O)N(*)C9=O)cc7)cc6)cc5C4=O)cc3)cc2)cc1,9.932710078,11.68053,10.583359,0.6762726,0.750686
CC(C)(c1ccc(COc2ccc3c(c2)C(=O)N(*)C3=O)cc1)c1ccc(COc2ccc3c(c2)C(=O)N(c2ccc(-c4ccc(COCc5ccc(-c6ccc(*)cc6)cc5)cc4)cc2)C3=O)cc1,9.982273267,10.99786,9.999701,0.70201343,0.67100835
O=C(Nc1ccc(*)cc1)c1ccc(C#CC#Cc2ccc(C(=O)Nc3ccc(N4C(=O)c5ccc(-c6ccc(/C=C/c7ccc(-c8ccc9c(c8)C(=O)N(*)C9=O)cc7)cc6)cc5C4=O)cc3)cc2)cc1,10.03810291,9.5305195,7.534139,1.21562,0.57119954
CN(Cc1ccc(-c2ccc3c(c2)C(=O)N(*)C3=O)cc1)Cc1ccc(-c2ccc3c(c2)C(=O)N(c2ccc(C(=O)c4ccc(COCc5ccc(C(=O)c6ccc(*)cc6)cc5)cc4)cc2)C3=O)cc1,10.09080065,9.831409,8.8349,0.33687136,0.4697893
O=C(c1ccc(*)cc1)c1ccc(COCc2ccc(C(=O)c3ccc(N4C(=O)c5ccc(OCc6ccc(COCCOCc7ccc(COc8ccc9c(c8)C(=O)N(*)C9=O)cc7)cc6)cc5C4=O)cc3)cc2)cc1,10.14920589,11.557381,10.3880005,0.5141265,0.9056994
O=C(Nc1ccc(*)cc1)c1ccc(C#CC#Cc2ccc(C(=O)Nc3ccc(N4C(=O)c5ccc(OCc6ccc(C(=O)C(=O)c7ccc(COc8ccc9c(c8)C(=O)N(*)C9=O)cc7)cc6)cc5C4=O)cc3)cc2)cc1,10.26210573,9.47344,8.226561,0.8347663,0.66920644
